ITA,BS,CATEGORY
annaffiatoio,sbrufì,
annaspare,sgargià,
annebbiare,ënvölömà,
annegare,negà,
annessi fetali,secondìne,
anni,àgn,
annidarsi,ënmaciàs,
annodamento,ëngropadüra,
annodare,ëngropà,
annodarsi,ëngropàs,
annoiare,menàla,
annoiare,remenàla,figurativo
annoiarsi,lelolà,
annoiarsi,slojàs,
annoiato,snojàt,
annusare,napà,
annusare,nasà,
annusare,snasà,
ano,büs del cül,
ansare,ansà,
ansare,bofà,
ansare,smantezà,
ansare,tirà le canèle,
anta molto grande,antù,
anta piccola,antèl,
"antanello, rete",ontanèl,pesce-pesca
"antica misura di un piede e mezzo (lunghezza del piede di Liutprando, re longobardo)",pëdëprànd,arcaico
anticaglie,anticàje,
antiche monete d'oro,maringhì,
anticlericale,mangiaprécc,
anziano,ansià,
"aolarolo, rete a strascico per alborelle",goladìn,pesce-pesca
"aolarolo, rete per alborelle",avraröl,pesce-pesca
"aolarolo, rete per alborelle",oraröl,pesce-pesca
ape,àa,insetto
ape,ambìa,insetto
aperto,deèrt,
aperto,dravèrt,arcaico
apertura della siepe,sapèl,
appaiare,ëmperà,
appaltatore,abocadùr,arcaico
appannare,panà,
appannato,ëmpanàt,
apparecchiare,parà,
apparecchiare,parecià,
appassire,pasì,
appassire,deentà pas,
appena,dóma,
appena,nóma,
appendere,tacà vià,
appesantita,ëngreàda,
appestato,ëmpestàt,
appioppare,petà,
appisolarsi,ëmpisolàs,
appoggiare,arpà,arcaico
appoggio,dérma,
apprensione,coàcol,
apprezzare,presià,arcaico
approfittatore,papù,
approntare,mètër a pùnto,
aprile,aprìl,
aprile,brìl,
aprire,dèrvër,
aquila,àgla,ornitologia
aquila,àgola,ornitologia
aquilone,stèla,
arancia,portogàl,botanica
aratro,piò,
aratro a due vomeri,voltaorècie,
aratro leggero,silórgna,arcaico
arbusto,arböst,
arcangelica,bragòsa selvàdega,botanica
arcione,arsù,
arcobaleno,arcù,
arcobaleno,ìride,
arcolaio,filarèl,
arcolaio,guindol,
arcolaio,tornèl,
ardere,lüzër,
ardesia,plóta,minerale
ardesia,plòza,minerale
ardesia,poòda,minerale
ardiglione (puntale della fibbia),ariù,
ardiglione (puntale della fibbia),puntàl de la föbia,
arenaria rossa,simùna,minerale
arengario,arèngh,archittettura
argano,àrghën,
argentiere,arzëntér,
argento purissimo,arzènt de copèla,
argilla,ëncléna,
argilla,tèra,
argine,riadèl,
argine dei prati,rìe,
argine naturale,regóna,bassa bresciana
aria,óra,
"aria umida, frizzante",gnìfa,
"arido, secco",àrs,
"ariete, montone",bàro,
"ariete, montone",bós,
aringa o sardina salata,cospetù,
aringa secca,rèngh,pesce-pesca
aringhe affumicate,rèng fömegàcc,
ariosa,ariùsa,
armadietto,stipèt,
armadietto,stipitì,
armadietto,vestargì,
armadio,armoà,francesismo
armadio,vestàre,
armaiolo,armaröl,
armaiolo,s'ciopetér,arcaico
armatura,armadüra,
armonica a bocca,spinèta,
arnese per cogliere fichi,catafìch,
arnia,borgàs,arcaico
arnia,brogàs,arcaico
arnica,èrba de s. Gioàan,botanica
arnica,fiùr de s. Piéro,botanica
arnica,tabàch de Càrëgn,botanica
arnica (polvere bianca per liberare il naso),sternüdina,botanica
arpese (spranga in ferro per tenere insieme le pietre negli edifici),càmbra,
arpioncino,poleghèt,
arpione,pólëch,
arrabbiare,rabinà,
arrabbiarsi,ëmbilàs,arcaico
arrabbiarsi,ëncapelàs,
arrabbiarsi,ëncasàs,
arrabbiato,ënversàt,
arrabbiato,gnèch,
arrabbiato,strezìt,arcaico
arrabbiatura,ënversadüra,
arraffare,rafà sö,
arraffare,regatà,arcaico
arraffatore,raspù,
arraffatore,ludro,
arrampicare,rampegà,
arrampicata,rampàda,
arrampicata,rampegàda,
arrestato,ëncispàt,gergo-volgare
arresti,arès'cc,
arricciare,ransignà,
arricciatura,resadüra,
arrivare,lügà,arcaico
arrivare,rîà,
arrivato,rîàt,
arrivederci,a riidìs,
arrossire,deentà rós,
arrostire,rostésër,
arrostire,rostignà,
arrostire,rustì,
arrostito,rostìt,
arrostitore,rostidùr,
